Province,Nearest major airport,Range/Region,Year first climbed,Name,Convenient Center,Difficulty,Country,Most recent eruption,Best months for climbing,Id,Elevation (meters),Heights,First successful climber(s),State,Longitude,Volcanic status,Elevation (feet),Latitude,Continent
,"reno, nv",,,"tallac, mount",s lake tahoe,basic snow/ice climb,,,"jan, feb, mar, apr, may",3514,3200.0,10499 ft/3200 m,,,-120.099106,,10499.0,38.908133,north america
,teneriffa airport reina sofia,canary islands,,pico viejo,vilaflor,walk up,Spain,1798,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",2685,3135.0,10285 ft/3135 m,,,-16.6647,,10285.0,28.2639,europe
,barcelona,pyrenees,,agulles d'amitges,pobla de segur,technical climb,Spain,,"jun, jul, aug, sep",2687,2665.0,8743 ft/2665 m,,,0.98,,8743.0,42.62,europe
,valdez pioneer field,chugach mountains,1984.0,meteorite mountain,anchorage,technical climb,United States,,"feb, mar, apr",2680,2001.0,6565 ft/2001 m,john weiland,alaska,,,6565.0,,north america
,"jolly grant, dehradun",garhwal himalaya,1950.0,banderpunch,barkot,major mountain expedition,India,,"may, jun, sep, oct",2683,6316.0,20722 ft/6316 m,jtm gibson with tenzing norgay,,78.553433,,20722.0,31.003016,asia
,"seattle, wa",cascade range,1926.0,black peak,"winthrop, wa",scramble,United States,,"jun, jul, aug, sep",342,2734.0,8970 ft/2734 m,lage wernstedt and unknown companion,washington,-120.815835,,8970.0,48.523597,north america
,poprad,carpathian mountains,,javorovy stit,stary smokovec,scramble,Slovakia,,"jun, jul, aug, sep, oct",3998,2417.0,7930 ft/2417 m,"a. and k. englisch, j. hunsdorfer",,20.168495,,7930.0,49.187538,europe
,redding,,,ycatapom peak,weaverville,scramble,United States,,"jun, jul, aug, sep, oct",1434,2315.0,7596 ft/2315 m,"unknown, possibly norman clyde",california,-122.794,,7596.0,41.0289,north america
,alamosa,sangre de cristo range,,california peak,fort garland,walk up,United States,,"jun, jul, aug, sep",99,4221.0,13849 ft/4221 m,,colorado,-105.5,,13849.0,37.6167,north america
,"jackson, wyoming",teton range - yellowstone area,1898.0,grand teton,"jackson, wyoming",technical climb,United States,,"may, jun, jul, aug, sep",98,4197.0,13770 ft/4197 m,"reverend w. owen,  f. spaulding,  j. shive,  f. peterson",wyoming,-110.802,,13770.0,43.7411,north america
,puerto montt,central argentina-chile,2000.0,yates 1,rio puelo,,Chile,,"jan, feb, dec",91,2240.0,7349 ft/2240 m,"oliver guenay, ludwig codjambassis",,,,7349.0,,south america
,pucón,central argentina-chile,,volcan villarrica,pucón,walk up,Chile,,,90,2840.0,9317 ft/2840 m,,,,,9317.0,,south america
,"kampala, uganda,  kigali, rwanda,  bujumbura, burundi,  nairobi, kenya",ruwenzori,1906.0,"gessi, mount","mutsori, zaire,  bugoye, uganda",scramble,"Congo, Democratic Republic of the",,"jan, feb, jun, jul, aug",93,4715.0,15470 ft/4715 m,"duke of the abruzzi,  j. petigax,  c. ollier",,29.9167,,15470.0,0.433333,africa
,"tatry-poprad, slovakia",carpathian mountains,1855.0,gerlach,"tatranska lomnica, slovakia,  zakopane, poland",scramble,Slovakia,,"jul, aug, sep",92,2655.0,8711 ft/2655 m,"z. bosniachi,  w. grzegorzek",,20.0833,,8711.0,49.15,europe
,"bergen or oslo, norway",jotunheimen,1841.0,glittertind,"spiterstulen, norway",basic snow/ice climb,Norway,,"jun, jul, aug",95,2464.0,8084 ft/2464 m,a survey party,,8.55,,8084.0,61.65,europe
,"seattle, washington",cascade range,1898.0,glacier peak,"darrington, washington",basic snow/ice climb,United States,,"may, jun, jul, aug",94,3213.0,10541 ft/3213 m,thomas gerdine with a u.s. geological survey team,washington,-121.113992,,10541.0,48.111227,north america
,"geneva, switzerland",pennine alps,1857.0,grand combin,"bourg st. pierre, switzerland",basic snow/ice climb,Switzerland,,"jul, aug, sep",97,4314.0,14154 ft/4314 m,"benjamin felley,  maurice felley,  jouvence bruchez",,7.298906,,14154.0,45.937228,europe
,"turin, italy",graian alps,1860.0,gran paradiso,"pont, italy",basic snow/ice climb,Italy,,"jul, aug, sep",96,4061.0,13323 ft/4061 m,"j.j. cowell, w. dundas, j. payot, j. tairraz",,7.2678,,13323.0,45.5177,europe
,venezia marco polo,dolomites,1857.0,pelmo,zoldo,scramble,Italy,,"jul, aug, sep",1623,3168.0,10394 ft/3168 m,"john ball, english",,12.12745,,10394.0,46.4162,europe
,mostar and sarajevo,bolivian andes,,cerro chello cunka este,konjic,basic snow/ice climb,Bolivia,,"jun, jul, aug, sep",1622,5400.0,17716 ft/5400 m,?,,,,17716.0,,south america
,la paz,bolivian andes,2001.0,cerro chualluma,la paz,basic snow/ice climb,Bolivia,,,1621,5390.0,17684 ft/5390 m,"michael wahlin, olof dallner",,,,17684.0,,south america
,la paz,bolivian andes,2001.0,cerro chello cunka,la paz,basic snow/ice climb,Bolivia,,"jun, jul, aug, sep",1620,5450.0,17880 ft/5450 m,"michael wahlin, olof dallner",,,,17880.0,,south america
,salzburg,,1801.0,göll,kuchl,scramble,Austria,,"jul, aug, sep",1627,2523.0,8277 ft/2523 m,valentin stanic,,13.066864,,8277.0,47.594183,europe
,,,,pizzo di claro,bellinzona,,Switzerland,,"jul, aug",1626,2727.0,8947 ft/2727 m,,,,,8947.0,,europe
,salzburg,,,kuchler georgenberg,kuchl,walk up,Austria,,"jan, feb, apr, may, jun, jul, aug, sep, oct, nov, dec",1625,545.0,1788 ft/545 m,cucullus,,,,1788.0,,europe
,"telluride, colorado (or grand junction for cheaper)",san juan mountains,,palmyra peak,"telluride, colorado",scramble,United States,,"jun, jul, aug, sep",1996,4060.0,13319 ft/4060 m,,colorado,-107.829,,13319.0,37.8836,north america
british columbia,vancouver,cascade range,,macdonald peak,chilliwack,scramble,Canada,,"jul, aug, sep",1999,2225.0,7300 ft/2225 m,,,-121.4625,,7300.0,49.0375,north america
,guarulhos (sp),southern brazilian highlands,,tres estados,itamonte (mg),,Brazil,,"jun, jul, aug",1998,2665.0,8743 ft/2665 m,,,-44.8,,8743.0,-22.4,south america
,"kalispell, montana",central montana rockies,1920.0,"gould, mount","west glacier, montana",scramble,United States,,"jul, aug, sep",1629,2912.0,9553 ft/2912 m,frank b. wynn and party,montana,-113.715105,,9553.0,48.742437,north america
,salzburg,,,kuchler freieck,kuchl,scramble,Austria,,"mar, apr, jul, aug, sep",1628,2312.0,7585 ft/2312 m,,,13.1,,7585.0,47.5833,europe
,,,,"madoriama, mount",,technical climb,Japan,,"jan, apr, jun, oct, nov, dec",3209,914.0,3000 ft/914 m,,,137.825,extinct,3000.0,36.2561,asia
,seattle,cascade range,1944.0,the needles,mazama,technical climb,United States,,"may, jun, jul, aug, oct",349,2490.0,8170 ft/2490 m,"helmy beckey, larry strathdee",washington,-120.649,,8170.0,48.5989,north america
,stuttgart,swabian alb,,hohenstaufen,göppingen,walk up,Germany,,"mar, apr, may, jun, jul, aug, sep, oct",3561,684.0,2244 ft/684 m,,,9.716592,,2244.0,48.743908,europe
,entebbe,ruwenzori,1906.0,margherita,nyakalengija,basic snow/ice climb,Uganda,,"jan, feb, jun, jul, aug, dec",3398,5109.0,16763 ft/5109 m,"luigi di savoia, duc des abruzzes",,29.873639,,16763.0,0.380319,africa
,int. air port. mariano escobedo,sierra madre oriental,,infiernillo,"monterrey, nuevo leon",walk up,Mexico,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",2861,3260.0,10696 ft/3260 m,,,-99.935,,10696.0,24.518,north america
,dinner plain (mt hotham) or melbourne,victoria alps,,"mckay, mount",,walk up,Australia,,"jan, feb, mar, jul, aug, sep, dec",2862,1842.0,6043 ft/1842 m,,,147.242222,,6043.0,-36.874722,australia/oceania
,spokane airport,columbia mountains,,"spokane, mount",spokane,walk up,United States,,"mar, apr, may, jun, jul, aug, sep, oct",2863,1793.0,5883 ft/1793 m,,washington,-117.115,,5883.0,47.9253,north america
,"salzburg, innsbruck",kitzbuhel,,schneegrubenspitze,kitzbühel,walk up,Austria,,,2864,2237.0,7339 ft/2237 m,,,12.1807,,7339.0,47.3162,europe
,"innsbruck, milan",dolomites,,cima tosa,madonna di campiglio,basic snow/ice climb,Italy,,,2865,3173.0,10410 ft/3173 m,virgillo neri,,10.8633,,10410.0,46.1556,europe
,"innsbruck, munich",austrian alps,,gimpel,"nesselwang, füssen",technical climb,Austria,,,2866,2108.0,6916 ft/2108 m,,,10.6124,,6916.0,47.5007,europe
,,,,hergest ridge,kington,walk up,United Kingdom,,"may, jun, jul, aug",2867,426.0,1398 ft/426 m,,,-3.0814,,1398.0,52.2054,europe
,salt lake city,wasatch range,1851.0,frary peak,"layton, utah",walk up,United States,,"jan, feb, mar, jun, jul, aug, sep, oct, nov, dec",2868,2010.0,6596 ft/2010 m,,utah,-112.216,,6596.0,40.9619,north america
,seattle,cascade range,,cashmere peak,leavenworth,scramble,United States,,"jul, aug, sep",2869,2591.0,8501 ft/2591 m,,washington,-120.847335,,8501.0,47.558631,north america
,"munich, salzburg",kitzbuhel,,watzmann,,scramble,Germany,,"jul, aug, sep",557,2713.0,8901 ft/2713 m,,,12.9167,,8901.0,47.55,europe
,fairbanks,,,bona,whitehorse and fairbanks,major mountain expedition,United States,,"may, jun, jul, aug",556,5005.0,16421 ft/5005 m,,alaska,-141.749,,16421.0,61.3856,north america
,trondheim,,,snøhetta,oppdal,walk up,Norway,,"jun, jul, aug, sep",551,2286.0,7500 ft/2286 m,,,9.268333,,7500.0,62.32,europe
,athens,greek-albanian ranges,,ghiona,"amfissa, lamia",scramble,Greece,,"jul, aug, sep",550,2510.0,8235 ft/2510 m,,,,,8235.0,,europe
,geneve,,,mont joly,les contamines,walk up,France,,"jun, jul, aug",553,2525.0,8284 ft/2525 m,,,6.692778,,8284.0,45.825833,europe
,"toulouse (france), zaragoza (spain)",pyrenees,,taillon,"gavarnie (france), bujaruelo (spain)",walk up,France,,"jun, jul, aug, sep",552,3144.0,10315 ft/3144 m,,,-0.052872,,10315.0,42.694675,europe
,"santiago, chile",puna de atacama,1886.0,licancabur,"calama, chile",basic snow/ice climb,,,"may, jun, jul, aug",1199,5930.0,19455 ft/5930 m,"j. santdias,",,-67.8833,extinct,19455.0,-22.8333,south america
,"kathmandu, nepal",,,melungtse,"kathmandu, nepal",major mountain expedition,China,,"apr, may, sep, oct",1198,7181.0,23555 ft/7181 m,,,86.4333,,23555.0,27.9667,asia
,islamabad,karakoram ,1977.0,baintha brakk,,major mountain expedition,Pakistan,,"jun, jul, aug, sep",3348,7285.0,23901 ft/7285 m,doug scott and chris bonington,,75.753822,,23901.0,35.947717,asia
alberta,calgary,canadian rockies,1897.0,"sarbach, mount",banff,scramble,Canada,,"jul, aug",3349,3155.0,10351 ft/3155 m,"collie, baker",,-116.767,,10351.0,51.8917,north america
alberta,calgary,canadian rockies,1902.0,"wilson, mount",banff,technical climb,Canada,,"jul, aug",3342,3261.0,10699 ft/3261 m,james outram,,-116.8005,,10699.0,52.0192,north america
,,,,knittelkarspitze,,scramble,Austria,,"may, jun, jul, aug, sep, oct",1190,2360.0,7743 ft/2360 m,,,,,7743.0,,europe
,insbruck,,,kogelseespitze,imst,walk up,Austria,,"may, jun, jul, aug, sep, oct",1193,2647.0,8684 ft/2647 m,,,,,8684.0,,europe
,evenes,,1910.0,stetind,narvik,technical climb,Norway,,"jun, jul, aug",1192,1392.0,4567 ft/1392 m,f.scheldrup,,16.591144,,4567.0,68.166725,europe
,,,,ettaler mandl,,scramble,Germany,,"apr, may, jun, jul, aug, sep, oct",1195,1650.0,5413 ft/1650 m,,,,,5413.0,,europe
,augsburg,,,rote fluh,pfronten /reutte,walk up,Austria,,"apr, may, jun, jul, aug, sep, oct",1194,2111.0,6926 ft/2111 m,,,,,6926.0,,europe
,"islamabad, gilgit",,,shisper pak,"gulmit, hussaini, passu",major mountain expedition,Pakistan,,"jun, jul",3344,7611.0,24970 ft/7611 m,,,74.653398,,24970.0,36.423759,asia
,,,,säuling,,walk up,Austria,,"may, jun, jul, aug, sep, oct",1196,2047.0,6716 ft/2047 m,,,10.755064,,6716.0,47.535188,europe
,"la rioja, 90 km from chilecito",central argentina-chile,,sierra de famatina,chilecito 83 km (famatina 50 km),basic snow/ice climb,Argentina,,"jan, feb, mar, nov, dec",1759,6250.0,20505 ft/6250 m,,,-67.8167,,20505.0,-29.0333,south america
,gafsa,,,jebel chaambi,kasserine,walk up,Tunisia,,"mar, apr, may, jun, jul, aug, sep, oct",1758,1544.0,5066 ft/1544 m,n/a,,8.63333,,5066.0,35.2167,africa
,seattle-tacoma intl,olympic mountains,,"pulitzer, mount",port angeles,scramble,United States,,"jun, jul, aug, sep",1757,1915.0,6283 ft/1915 m,"unknown, possibly billy everett or boston charlie",washington,-123.574176,,6283.0,47.835571,north america
,reno,sierra nevada,,ebbetts peak,bear valley,walk up,United States,,"may, jun, jul, aug, sep, oct",1756,2792.0,9160 ft/2792 m,,california,-119.8,,9160.0,38.5333,north america
,reno,sierra nevada,,wheeler peak,bear valley,scramble,United States,,"may, jun, jul, aug, sep, oct, nov",1755,2778.0,9115 ft/2778 m,,california,-119.967,,9115.0,38.5167,north america
,milano,brenta-adamello-garda group,1864.0,presanella,"vermiglio ,val di sole",basic snow/ice climb,Italy,,"jun, jul, aug",1754,3558.0,11673 ft/3558 m,douglas w. freshfield,,10.663889,,11673.0,46.22,europe
,caselle,cottian alps,,monte niblè,torino or chambery,basic snow/ice climb,Italy,,"apr, may, jul, aug",1753,3365.0,11040 ft/3365 m,"w.a.b. coolidge, christian almer sr, pierre michl",,,,11040.0,,europe
,,savoy alps,,petit capucin,chamonix/courmayeur,technical climb,France,,"jul, aug",1752,3693.0,12116 ft/3693 m,arnoldi/gagliardone/gervasutti,,,,12116.0,,europe
,ardabil,,1966.0,"kasra, mount",ardabil- mashkinshahr,scramble,Iran,,"jun, jul, aug",1751,4505.0,14780 ft/4505 m,deceased mr latifie,,,,14780.0,,asia
,"lourdes or toulouse, france, zaragoza or barcelona, spain",pyrenees,1797.0,pic du midi d'ossau,"laruns, france",technical climb,France,,"may, jun, jul, aug, sep",1177,2885.0,9465 ft/2885 m,"guillaume delfau with mathieu, a local shepherd (this was the first recorded ascent; a prior unrecorded ascent had left a , summit cairn)",,-0.438423,,9465.0,42.844569,europe
,new bacolod-silay airport,,1999.0,sicaba dacu peak,"cadiz city, negros occidental",scramble,Philippines,,,4258,1379.0,4524 ft/1379 m,"dennis s. ella, mariebelle p. ella and pedro f. palabrica",,123.24073,,4524.0,10.799443,asia
,sofia,balkan mountains,,botev,kalofer,walk up,Bulgaria,,"jun, jul, aug",1175,2376.0,7795 ft/2376 m,,,24.9167,,7795.0,42.7167,europe
,bishkek,,,korona,bishkek,technical climb,Kyrgyzstan,,"jul, aug",1174,4860.0,15945 ft/4860 m,,,,,15945.0,,asia
,"tucson, az",southwest basins and ranges,1898.0,baboquivari peak,"sells, az",scramble,United States,,"mar, apr",1172,2356.0,7730 ft/2356 m,"sr. montoya, r.h. forbes",arizona,-111.595,,7730.0,31.7711,north america
,"schiphol,amsterdam",north france-west rhine area,,vaalserberg,vaals,,Netherlands,,"jun, jul, aug",1171,322.0,1056 ft/322 m,probably neanderthals,,6.020833,,1056.0,50.754722,europe
,zurich,lepontine alps,,klein furkahorn,"andermatt, brig",walk up,Switzerland,,"jun, jul, aug, sep",4251,3026.0,9928 ft/3026 m,,,8.41051,,9928.0,46.58007,europe
,"innsbruck, zurich",ortler alps,,ortler (ortles),"bormio, sulden",basic snow/ice climb,Italy,,"jul, aug, sep",4250,3905.0,12812 ft/3905 m,,,10.54439,,12812.0,46.50776,europe
,juba,,,kinyeti,,walk up,Sudan,,"jan, dec",4253,3185.0,10449 ft/3185 m,,,32.910258,,10449.0,3.946286,africa
,"innsbruck, zurich",ortler alps,,roetlspitz (rötlspitz; punta rosa),bormio,,Switzerland,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",4252,3026.0,9928 ft/3026 m,,,10.45916,,9928.0,46.53974,europe
,new bacolod-silay airport,,,"mandalagan, mount","don salvador benedicto, negros occidental",scramble,Philippines,,,4255,1884.0,6181 ft/1884 m,,,123.2361,,6181.0,10.636969,asia
,new bacolod-silay airport,,,lantawan peak,"cadiz city, negros occidental",scramble,Philippines,,,4257,1049.0,3442 ft/1049 m,,,123.235533,,3442.0,10.83254,asia
,new bacolod-silay airport,,2000.0,sicaba diotay peak,"victorias city, negros occidental",scramble,Philippines,,,4256,1536.0,5039 ft/1536 m,dennis s. ella and pedro f. palabrica,,123.233243,,5039.0,10.770094,asia
,iloilo airport,,,"nangtud, mount","barbaza, antique",major mountain expedition,Philippines,none,"feb, mar, apr, may",3161,2.0,7 ft/2 m,antique mountaineering society,,122.208,extinct,7.0,11.268,asia
,vancouver,british columbia coast ranges,,"diadem, mount",powell river,scramble,Canada,,"jul, aug, sep",1007,1737.0,5700 ft/1737 m,,,,,5700.0,,north america
,"manchester, england",lake district,,scafell,wasdale head or eskdale,walk up,United Kingdom,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",1006,964.0,3162 ft/964 m,,,-3.222942,,3162.0,54.448385,europe
,munich / salzburg,,,hoerndlwand,ruhpolding,walk up,Germany,,"may, jun, jul, aug, sep, oct",513,1684.0,5525 ft/1684 m,,,,,5525.0,,europe
,seattle,cascade range,,outpost,marblemount,scramble,United States,,"jun, jul, aug, sep, oct",644,2411.0,7910 ft/2411 m,john roper,washington,-120.903769,,7910.0,48.523426,north america
,davos?,,,roda valle del neve,vicosoprano,scramble,Switzerland,,"jul, aug, sep",1285,975.0,3200 ft/975 m,,,,,3200.0,,europe
,nice,cottian alps,2000.0,tete de la fréma,barcelonette,walk up,France,,"may, jun, jul, aug, sep",1284,3151.0,10338 ft/3151 m,"onno goldbach, hans van der kwast, ralf schrijvers, martijn stiekema, marcel thijssen and jan walstra.",,6.869853,,10338.0,44.537253,europe
,santiago,central argentina-chile,,el plomo,santiago,basic snow/ice climb,Chile,,"jan, feb, nov, dec",1287,5430.0,17815 ft/5430 m,,,-70.2333,,17815.0,-33.2667,south america
,"kathmandu, nepal",central nepal himalaya,1964.0,shisha pangma,"kathmandu, nepal",major mountain expedition,China,,"apr, may",1004,8013.0,26289 ft/8013 m,hsu ching and his ten-man chinese,,85.7833,,26289.0,28.35,asia
,,,,spruce knob,"seneca rocks, west virginia",walk up,United States,,"mar, apr, may, jun, jul, aug, sep, oct, nov",1281,1482.0,4863 ft/1482 m,,west virginia,-79.532778,,4863.0,38.7,north america
,glasgow,scottish highlands,,carn dearg,kinloch rannoch,walk up,United Kingdom,,"jan, feb, apr, may, jun, jul, aug, sep, oct, nov, dec",1282,941.0,3087 ft/941 m,sir hugh munro,,,,3087.0,,europe
,"islamabad, pakistan",karakoram ,1934.0,sia kangri,"skardu, pakistan",major mountain expedition,Pakistan,,sep,1003,7422.0,24350 ft/7422 m,gunther dyhrenfurth and party,,76.761861,,24350.0,35.663259,asia
,poprad,carpathian mountains,,vychodna vysoka,"tatranska polianka, stary smokovec",walk up,Slovakia,,"jun, jul, aug, sep, oct",1289,2428.0,7966 ft/2428 m,,,,,7966.0,,europe
,poprad,,,slavkovsky stit,"stary smokovec, poprad",walk up,Slovakia,,"jun, jul, aug, sep, oct",1288,2452.0,8045 ft/2452 m,,,,,8045.0,,europe
,"la aurora, guatemala city",sierra madre del sur,,toliman,san lucas toliman,walk up,Guatemala,,"jan, feb, oct, nov, dec",514,3158.0,10361 ft/3158 m,,,,,10361.0,,north america
,,,,high point,,walk up,United States,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",3430,550.0,1803 ft/550 m,,new jersey,-74.661562,,1803.0,41.320948,north america
,"jackson, wyoming",wind river range,1922.0,gannett peak,"pinedale, wyoming",scramble,United States,,"jul, aug, sep",89,4207.0,13804 ft/4207 m,"a. tate,  f. stahlnaker",wyoming,-109.653,,13804.0,43.1844,north america
,,,,pointe luis-amedeo,,technical climb,France,,"jul, aug, sep",689,4469.0,14662 ft/4469 m,"g.b. and g.f. gugliermina, guide joseph brocherel",,,,14662.0,,europe
,seattle,olympic mountains,,"constance, mount",port townsend,scramble,United States,,"jul, aug, sep",688,2360.0,7743 ft/2360 m,robert schellin and a. e.,washington,-123.127384,,7743.0,47.772849,north america
,,,,white butte,,walk up,United States,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",3431,1069.0,3506 ft/1069 m,,north dakota,-103.302694,,3506.0,46.386965,north america
